venue,venue_type,jcr_quartile,cas_division,impact_factor,ccf_rank,assessment_year,source_url,snapshot_date
ACM SIGSPATIAL,conference,,,,C,,,2026-08-30
Connection Science,journal,,,,C,,,2026-08-30
Engineering Applications of Artificial Intelligence,journal,,,,C,,,2026-08-30
Expert Systems with Applications,journal,,,,C,,,2026-08-30
IEEE Antennas and Wireless Propagation Letters,journal,Q2,3,4.6,,,,2026-08-30
IEEE Communications Letters,journal,Q2,3,4.5,,,,2026-08-30
IEEE GLOBECOM,conference,,,,C,,,2026-08-30
IEEE ICASSP,conference,,,,B,,,2026-08-30
IEEE ICC,conference,,,,C,,,2026-08-30
IEEE ICCCN,conference,,,,C,,,2026-08-30
IEEE INFOCOM,conference,,,,A,,,2026-08-30
IEEE Internet of Things Journal,journal,Q1,1,8.7,C,,,2026-08-30
IEEE Journal on Selected Areas in Communications,journal,Q1,1,16.8,A,,,2026-08-30
IEEE LCN,conference,,,,C,,,2026-08-30
IEEE Open Journal of the Communications Society,journal,Q1,2,6.1,,,,2026-08-30
IEEE Signal Processing Letters,journal,,,,C,,,2026-08-30
IEEE Transactions on Cognitive Communications and Networking,journal,Q1,2,8.0,,,,2026-08-30
IEEE Transactions on Communications,journal,Q1,2,8.4,B,,,2026-08-30
IEEE Transactions on Consumer Electronics,journal,Q1,2,9.9,,,,2026-08-30
IEEE Transactions on Mobile Computing,journal,Q1,1,8.8,A,,,2026-08-30
IEEE Transactions on Network Science and Engineering,journal,Q1,2,7.3,,,,2026-08-30
IEEE Transactions on Signal Processing,journal,Q1,1,5.5,,,,2026-08-30
IEEE Transactions on Vehicular Technology,journal,Q1,2,7.5,,,,2026-08-30
IEEE Transactions on Visualization and Computer Graphics,journal,Q1,1,6.8,A,,,2026-08-30
IEEE Transactions on Wireless Communications,journal,Q1,1,10.3,B,,,2026-08-30
IEEE WCNC,conference,,,,C,,,2026-08-30
IEEE Wireless Communications Letters,journal,Q1,2,5.1,,,,2026-08-30
IEICE Transactions on Communications,journal,Q1,2,8.4,B,,,2026-08-30
IET Communications,journal,,,,C,,,2026-08-30
Pattern Recognition,journal,Q1,1,9.1,B,,,2026-08-30
